Record ID	PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	AA sequence #no EMBL#	NT sequence #no EMBL#	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Essential_gene_Lethal_knockout	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Full_citation	Author_email	Comments	Reference 	Year_published	Curation details	File_name_pdf_files_provided	_batch_no_	Curated(Month/Year)	_curator_organisation_	__lab__	__FG_mycotoxin__	Additional IdentifierTypeOfGeneLocusID	Additional GeneLocusID	Anti-infective (Chemical)	Compound	Target site	Group name	Chemical group	Mode in planta	FRAC CODE	Additional comments  on anti-infectives	phi3_pars											
Record 1	PHI:3	Uniprot	P26215	EMBL	AAA79885			SB111	PGN1							5017	Cochliobolus carbonum	5017	SB111	Leaf spot	Monocots	4577	Zea mays (related: Maize)					Endopolygalacturonase	GO:0004650	GO		Unaffected pathogenicity		No	No	No							pectin						gene disruption			MU; JA	2152162	PubMed				Expression during all infection stages	Scott-Craig et al.	1990			PHI-base Vers.3.3		Rres																								
Record 2	PHI:7	Uniprot	P22287	EMBL	CAA42824			race 5	AVR9							5499	Cladosporium fulvum	5499		Leaf mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Effector protein				Effector (plant avirulence determinant)																	gene deletion; complementation; biochemical evidence			MU	1799694; 8208859; 9119054; 9625714; 9924993; 10394902; 10447668; 11277429; 11297411; 12695849	PubMed					Van Kan et al.	1991			PHI-base Vers.3.3		Rres																								
Record 3	PHI:12	Uniprot	Q01886	EMBL	AAA33023			SB111	HTS1							5017	Cochliobolus carbonum	5017	SB111	Leaf spot	Monocots	4577	Zea mays (related: Maize)					Cylic Peptide Synthase	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption			TKB; JA	11607305; 10656588 	PubMed					Panaccione et al.	1992			PHI-base Vers.3.3		Rres																								
Record 4	PHI:14	Uniprot	P0C017	EMBL	AAB09711			clinical isolate	ADE2							5207	Cryptococcus neoformans	5207	H99 (serotype A)	Cryptococcosis	Nematodes	6239	Caenorhabditis elegans (related: Roundworm)					Phosphoribosylaminoimidazole carboxylase	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption; gene complementation			TKB; KHK	12438649	PubMed	10.1073/pnas.232568599				Perfect et al.	1993			PHI-base Vers.3.3		Rres																								
Record 5	PHI:14	Uniprot	P0C017	EMBL	AAB09711			clinical isolate	ADE2							5207	Cryptococcus neoformans	5207	H99 (serotype A)	Cryptococcosis	Rabbits & hares	9986	Oryctolagus cuniculus (related: Rabbit)					Phosphoribosylaminoimidazole carboxylase	"GO:0009405, IMP"	GO		Loss of pathogenicity 																	gene disruption; gene complementation			TKB; KHK	12438649	PubMed	10.1073/pnas.232568599				Perfect et al.	1993			PHI-base Vers.3.3		Rres																								
Record 6	PHI:15	Uniprot	P52751	EMBL	AAA20128			Guy-11	MPG1							318829	Magnaporthe oryzae		Guy11	Rice blast	Monocots	4530	Oryza sativa (related: Rice)					Hydrophobin	"GO:0009405, IMP; GO:0051701"	GO		Reduced virulence		Yes	No Data	No Data													gene deletion			MU	8312740; 8755621; 12481998	PubMed	10.1105/tpc.5.11.1575				Talbot et al.	1993			PHI-base Vers.3.3		Rres																								
Record 7	PHI:17	Uniprot	Q00663	EMBL	CAA43678			ATCC750	ACP							5482	Candida tropicalis	5482	ATCC 750	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Acid proteinase	"GO:0009405, IMP; GO:0004190"	GO		Reduced virulence																	gene disruption; gene complementation			TKB	7983570	PubMed					Togni et al.	1994			PHI-base Vers.3.3		Rres																								
Record 8	PHI:18	Uniprot	Q00363	EMBL	CAA69643			Race 5	AVR4							5499	Cladosporium fulvum	5499	Multiple alleles from numerous strains	Leaf mould	Eudicots	4081	Solanum lycopersicum (related: Tomato)					Effector protein				Effector (plant avirulence determinant)																	biochemical analysis; mutation: characterised; complementation			TKB	8114941; 9090881; 12481994; 12736265; 14769793; 15469522	PubMed	10.1074/jbc.M212196200;10.1074/jbc.M312594200			Expression during biotrophic growth	Joosten et al	1994			PHI-base Vers.3.3		Rres																								
Record 9	PHI:19	Uniprot	P34809	EMBL	AAA17547			L210425	NMT							5207	Cryptococcus neoformans	5207	H99	Cryptococcosis	Rabbits & hares	9986	Oryctolagus cuniculus (related: Rabbit)					Myristoyl-CoA:protein N-myristoyltransferase	"GO:0009405, IMP; GO:0044412"	GO		Reduced virulence			No Data	Yes				Heat sensitive									mutation: characterised			TKB; KHK	7991574	PubMed				Engineered temperature sensitive allele 	Lodge et al.	1994			PHI-base Vers.3.3		Rres																								
Record 10	PHI:22	Uniprot	P49606	EMBL	AAA57469			518	UAC1							5270	Ustilago maydis	5270		Corn smut	Monocots	4577	Zea mays (related: Maize)					Adenylate cyclase	"GO:0009405, IMP"	GO	cAMP signalling	Loss of pathogenicity 		See publication	See publication	See publication													gene disruption; gene complementation			MU	7995519	PubMed					Gold et al.	1994			PHI-base Vers.3.3		Rres																								
Record 11	PHI:24	Uniprot	Q00903	EMBL	AAB09777				Avenacinase gene							29850	Gaeumannomyces graminis	29850	var. avenae isolate A3	Take-all	Monocots	4564	Triticum (related: Wheat)					Avenacinase				Unaffected pathogenicity		No	No	No													gene disruption			MU	7824933	PubMed				Expression not determined	Bowyer et al.	1995			PHI-base Vers.3.3		Rres																								
Record 12	PHI:24	Uniprot	Q00903	EMBL	AAB09777				Avenacinase gene							29850	Gaeumannomyces graminis	29850	var. avenae isolate A3	Take-all	Monocots	4498	Avena sativa (related: Oat)					Avenacinase	"GO:0009405, IMP; GO:0044409; GO:0044412"	GO		Loss of pathogenicity 		No	Yes	Yes													gene disruption			MU	7824933	PubMed				Expression not determined	Bowyer et al.	1995			PHI-base Vers.3.3		Rres																								
Record 13	PHI:25	Uniprot	Q258K5	EMBL	CAJ29326			v23.1.3	AVRLM1							5022	Leptosphaeria maculans	no data found	v23.1.3	Phoma stem canker	Eudicots	3708	Brassica napus (related: Rape)					Effector protein				Effector (plant avirulence determinant)																	gene disruption		BH	TKB; AC	16556221	PubMed	10.1111/j.1365-2958.2006.05076.x	AnsanMelayah et al. (1995) PHYTOPATHOLOGY 85 (12): 1525-1529; Gout et al. (2006) Mol. Microbiol. 60 (1); 67-80	rouxel@versailles.inra.fr		AnsanMelayah et al.; Gout et al. 	"1995, 2006"			PHI-base Vers.3.3		Rres																								
Record 14	PHI:26	Uniprot	P28873	EMBL	CAA37820			B792	CaMDR1							5476	Candida albicans	5476	CAI-4	Candidiasis	Rodents	10090	Mus musculus (related: House mouse)					Fungal efflux pump	"GO:0009405, IMP"	GO		Reduced virulence																	gene disruption			TKB	7591094	PubMed					Becker et al.	1995			PHI-base Vers.3.3		Rres																								
