PHI-base accession no	PHI-base accession	Obsolete PHI accession	DB_Type	Accession	Obsolete EMBL accession	Locus ID	AA sequence #no EMBL#	NT sequence #no EMBL#	Associated strain	Gene name	Genome location	Multiple mutation	Pathogen NCBI Taxonomy ID	Pathogen species	Strain	Disease name	Monocot/Dicot plant	Host NCBI Taxonomy ID	Experimental host	Function	GO annotation	Database	Pathway	Phenotype of mutant	Mating defect prior to penetration	Pre-penetration defect	Penetration defect	Post-penetration defect	Vegetative spores	Sexual spores	In vitro growth	Spore germination	Essential gene (Lethal knockout)	Inducer	CAS	Host target	Host response	Experimental evidence	Species Expert	Entered by	Manual (M) or textmining (T)	Literature ID	Literature source	DOI	Full citation	Author email	Comments	Reference	Year published
	PHI:3		Uniprot	P26215		AAA79885	0	0	SB111	PGN1	0	0	5017	Cochliobolus carbonum	5017	SB111	Leaf spot	Monocot	Maize	Endopolygalacturonase	GO:0004650	GO	0	Unaffected pathogenicity	0	No	No	No	0	0	0	0	0	pectin	0	0	0	gene disruption	0	MU; JA		2152162	PubMed	0	0	0	Expression during all infection stages	Scott-Craig et al.	1990
	PHI:7		Uniprot	P22287		CAA42824	0	0	race 5	AVR9	0	0	5499	Cladosporium fulvum	5499	0	Leaf mold	Dicot	Tomato	Effector protein	0	0	0	Effector (plant avirulence determinant)	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion; complementation; biochemical evidence	0	MU		1799694; 8208859; 9119054; 9625714; 9924993; 10394902; 10447668; 11277429; 11297411; 12695849	PubMed	0	0	0	0	Van Kan et al.	1991
	PHI:12		Uniprot	Q01886		AAA33023	0	0	SB111	HTS1	0	0	5017	Cochliobolus carbonum	5017	SB111	Leaf spot	Monocot	Maize	Cylic Peptide Synthase	GO:0009405, IMP	GO	0	Loss of pathogenicity 	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	TKB; JA		11607305; 10656588 	PubMed	0	0	0	0	Panaccione et al.	1992
	PHI:14		Uniprot	P0C017		AAB09711	0	0	clinical isolate	ADE2	0	0	5207	Cryptococcus neoformans	5207	H99 (serotype A)	Cryptococcosis	0	Nematode	Phosphoribosylaminoimidazole carboxylase	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	TKB; KHK		12438649	PubMed	10.1073/pnas.232568599	0	0	0	Perfect et al.	1993
	PHI:14		Uniprot	P0C017		AAB09711	0	0	clinical isolate	ADE2	0	0	5207	Cryptococcus neoformans	5207	H99 (serotype A)	Cryptococcosis	0	Rabbit	Phosphoribosylaminoimidazole carboxylase	GO:0009405, IMP	GO	0	Loss of pathogenicity 	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	TKB; KHK		8406836	PubMed	10.1073/pnas.232568599	0	0	0	Perfect et al.	1993
	PHI:15		Uniprot	P52751		AAA20128	0	0	Guy-11	MPG1	0	0	318829	Magnaporthe oryzae	0	Guy11	Rice blast	Monocot	Rice	Hydrophobin	GO:0009405, IMP; GO:0051701	GO	0	Reduced virulence	0	Yes	No Data	No Data	0	0	0	0	0	0	0	0	0	gene deletion	0	MU		8312740; 8755621; 12481998	PubMed	10.1105/tpc.5.11.1575	0	0	0	Talbot et al.	1993
	PHI:17		Uniprot	Q00663		CAA43678	0	0	ATCC750	ACP	0	0	5482	Candida tropicalis	5482	ATCC 750	Candidiasis	0	Mouse	Acid proteinase	GO:0009405, IMP; GO:0004190	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	TKB		7983570	PubMed	0	0	0	0	Togni et al.	1994
	PHI:18		Uniprot	Q00363		CAA69643	0	0	Race 5	AVR4	0	0	5499	Cladosporium fulvum	5499	Multiple alleles from numerous strains	Leaf mold	Dicot	Tomato	Effector protein	0	0	0	Effector (plant avirulence determinant)	0	0	0	0	0	0	0	0	0	0	0	0	0	biochemical analysis; mutation: characterised; complementation	0	TKB		8114941; 9090881; 12481994; 12736265; 14769793; 15469522	PubMed	10.1074/jbc.M212196200;10.1074/jbc.M312594200	0	0	Expression during biotrophic growth	Joosten et al	1994
	PHI:19		Uniprot	P34809		AAA17547	0	0	L210425	NMT	0	0	5207	Cryptococcus neoformans	5207	H99	Cryptococcosis	0	Rabbit	Myristoyl-CoA:protein N-myristoyltransferase	GO:0009405, IMP; GO:0044412	GO	0	Reduced virulence	0	0	No Data	Yes	0	0	Heat sensitive	0	0	0	0	0	0	mutation: characterised	0	TKB; KHK		7991574	PubMed	0	0	0	Engineered temperature sensitive allele 	Lodge et al.	1994
	PHI:22		Uniprot	P49606		AAA57469	0	0	518	UAC1	0	0	5270	Ustilago maydis	5270	0	Corn smut	Monocot	Maize	Adenylate cyclase	GO:0009405, IMP	GO	cAMP signalling	Loss of pathogenicity 	0	See publication	See publication	See publication	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	MU		7995519	PubMed	0	0	0	0	Gold et al.	1994
	PHI:24		Uniprot	Q00903		AAB09777	0	0	0	Avenacinase gene	0	0	29850	Gaeumannomyces graminis	29850	var. avenae isolate A3	Take-all	Monocot	Wheat	Avenacinase	0	0	0	Unaffected pathogenicity	0	No	No	No	0	0	0	0	0	0	0	0	0	gene disruption	0	MU		7824933	PubMed	0	0	0	Expression not determined	Bowyer et al.	1995
	PHI:24		Uniprot	Q00903		AAB09777	0	0	0	Avenacinase gene	0	0	29850	Gaeumannomyces graminis	29850	var. avenae isolate A3	Take-all	Monocot	Oat	Avenacinase	GO:0009405, IMP; GO:0044409; GO:0044412	GO	0	Loss of pathogenicity 	0	No	Yes	Yes	0	0	0	0	0	0	0	0	0	gene disruption	0	MU		7824933	PubMed	0	0	0	Expression not determined	Bowyer et al.	1995
	PHI:25		Uniprot	Q258K5		CAJ29326	0	0	v23.1.3	AVRLM1	0	0	5022	Leptosphaeria maculans	5022	v23.1.3	Phoma stem canker	Dicot	Oil seed rape	Effector protein	0	0	0	Effector (plant avirulence determinant)	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	BH	TKB; AC		16556221	PubMed	10.1111/j.1365-2958.2006.05076.x	AnsanMelayah et al. (1995) PHYTOPATHOLOGY 85 (12): 1525-1529; Gout et al. (2006) Mol. Microbiol. 60 (1); 67-80	rouxel@versailles.inra.fr	0	AnsanMelayah et al.; Gout et al. 	1995, 2006
	PHI:26		Uniprot	P28873		CAA37820	0	0	B792	CaMDR1	0	0	5476	Candida albicans	5476	CAI-4	Candidiasis	0	Mouse	Fungal efflux pump	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	TKB		7591094	PubMed	0	0	0	0	Becker et al.	1995
	PHI:27		Uniprot	Q00368		AAA77678	0	0	0	CAP20	0	0	5457	Glomerella cingulata (related: Colletotrichum gloeosporioides)	5457	Not defined	Anthracnose	Dicot	Tomato	Appressorial wall	GO:0009405, IMP; GO:0044409	GO	0	Loss of pathogenicity 	0	No	Yes	No	0	0	0	0	0	avocado surface wax	0	0	0	gene disruption	0	TKB; JK		7756829	PubMed	0	0	0	Expression during host surface growth, invasion	Hwang et al.	1995
	PHI:27		Uniprot	Q00368		AAA77678	0	0	0	CAP20	0	0	5457	Glomerella cingulata (related: Colletotrichum gloeosporioides)	5457	Not defined	Anthracnose	Dicot	Avocado	Appressorial wall	GO:0009405, IMP; GO:0044409	GO	0	Loss of pathogenicity 	0	No	Yes	No	0	0	0	0	0	avocado surface wax	0	0	0	gene disruption	0	TKB; JK		7756829	PubMed	0	0	0	Tested on avocado fruits. Expression during host surface growth, invasion	Hwang et al.	1995
	PHI:31		Uniprot	P30573		BAA02707	0	0	IFO1060	CHS3	0	0	5476	Candida albicans	5476	CAI-4	Candidiasis	0	Mouse	Chitin Synthase	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	TKB		7479842	PubMed	0	0	0	0	Bulawa et al.	1995
	PHI:33		Uniprot	P43076		AAA68196	0	0	SC5314	PHR1	0	0	5476	Candida albicans	5476	CAF3-1	Candidiasis	0	Mouse	Membrane protein; pH responsive protein	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	gene disruption	0	TKB		7591097; 7823929	PubMed	0	0	0	0	Ghannoum et al.	1995
	PHI:35		Uniprot	O13337		AAB69694	0	0	Guy11	CON7	0	0	318829	Magnaporthe oryzae	0	Guy11	Rice blast	Monocot	Rice	Transcription factor	GO:0009405, IMP	GO	0	Reduced virulence	0	0	0	0	0	0	0	0	0	0	0	0	0	other evidence	0	MU		0	Not in PubMed	0	Shi et al. (1995) MOLECULAR PLANT-MICROBE INTERACTIONS 8 (6): 949-959	0	Sequence of rescued plasmid insertion	Shi and Leung	1995
	PHI:36		Uniprot	Q01143		AAA93199	0	0	0	CPKA	0	0	318829	Magnaporthe oryzae	0	70-15	Rice blast	Monocot	Rice	PKA catalytic subunit	GO:0009405, IMP; GO:0044409, IMP; GO:0044412, IMP	GO	cAMP signalling	Loss of pathogenicity 	0	Yes	Yes 	Yes	Wild type	Wild type	Wild type	Wild type	0	0	0	0	0	gene deletion	0	MU		8535140; 11006342 	PubMed	10.1105/tpc.7.11.1869	0	0	mutations in CPKA, are specific for pathogenicity, with deletion mutants of cpkA showing impaired appressorial penetration but efficient sporulation and mating	Mictchell and Dean	1995
	PHI:37		Uniprot	Q99129		AAC37439	0	0	518	MYP1	0	0	5270	Ustilago maydis	5270	518, 521	Corn smut	Monocot	Maize	Mycelial Development	GO:0009405, IMP	GO	0	Reduced virulence	No	No Data	No Data	No Data	0	0	0	0	0	0	0	0	0	gene deletion	0	TKB		8647387	PubMed	0	0	0	0	Giasson and Kronstad	1995
	PHI:38		Uniprot	Q02039		AAA86496	0	0	US238.1	NIP1	0	0	38038	Rhynchosporium secalis	38038	0	Scald/leaf blotch	Monocot	Barley	Effector protein	0	0	0	Effector (plant avirulence determinant)	0	0	0	0	0	0	0	0	0	0	0	0	0	other evidence	0	MU		7556057; 10497070; 12944393; 15497404	PubMed	10.1074/jbc.M308304200	0	0	0	Rohe et al.	1995
	PHI:39		Uniprot	Q6Q475		AAS60096	0	0	0	GP42 (PEP13)	0	0	67593	Phytophthora sojae	67593	0	Root rot	Dicot	Parsley	transglutaminase	GO:0003810, IDA	GO	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	other evidence	SK	MU; SH		7892267; 12485989; 12485989	PubMed	0	0	0	previously known as Phytophthora megasperma f. sp. glycinea	Nurnberger et al.	1995
	PHI:40		Uniprot	P79068		BAA18956	0	0	104-T	PKS1	0	0	5462	Colletotrichum lagenarium	5462	104-T	Anthracnose	Dicot	Cucumber	Polyketide synthase	GO:0009405, IMP; GO:0044409, IMP; GO:0042438	GO	Melanin biosynthesis	Reduced virulence	0	Yes	Yes	No	0	0	0	0	0	0	0	0	0	complementation	0	MU		7500937; 10501004	PubMed	0	0	0	Gene complementation in A.oryzae	Takano et al.	1995
	PHI:41		Uniprot	Q01145		AAA80239	0	0	0	PWL1	0	0	318829	Magnaporthe oryzae	0	0	Rice blast	Monocot	Rice	Effector protein	0	0	0	Effector (plant avirulence determinant)	0	0	0	0	0	0	0	0	0	0	0	0	0	complementation	0	TKB; MU		8664503	PubMed	0	0	0	0	Kang et al.	1995
	PHI:42		Uniprot	Q01144		AAA91019	0	0	4392-1-6	PWL2	0	0	318829	Magnaporthe oryzae	0	4392-1-6	Rice blast	Monocot	Rice	Effector protein	0	0	0	Effector (plant avirulence determinant)	0	0	0	0	0	0	0	0	0	0	0	0	0	complementation	0	MU		7549480	PubMed	10.1105/tpc.7.8.1221	0	0	Transfer into other strains by crossing	Sweigard et al.	1995
	PHI:44		Uniprot	Q8NJV0		AAM90953	0	0	A18	TRI5	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	GZ3639	Fusarium ear blight	Monocot	Oat	Trichodiene synthase	GO:0045482	GO	0	Unaffected pathogenicity	0	No	No	No	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	MU; AB		8589414; 9274012; 10931910	PubMed	0	0	0	Porter cultivar	Proctor et al.	1995
	PHI:44		Uniprot	Q8NJV0		AAM90953	0	0	A18	TRI5	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	GZ3639	Fusarium ear blight	Monocot	Wheat	Trichodiene synthase	GO:0045482	GO	0	Unaffected pathogenicity	0	No	No	No	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	MU; AB		8589414; 9274012; 10931910	PubMed	0	0	0	Caldwell cultivar	Proctor et al.	1995
	PHI:44		Uniprot	Q8NJV0		AAM90953	0	0	A18	TRI5	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	GZ3639	Fusarium ear blight	Monocot	Wheat	Trichodiene synthase	GO:0045482	GO	0	Unaffected pathogenicity	0	No	No	No	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	MU; AB		8589414; 9274012; 10931910	PubMed	0	0	0	Marshall cultivar	Proctor et al.	1995
	PHI:44		Uniprot	Q8NJV0		AAM90953	0	0	A18	TRI5	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	GZ3639	Fusarium ear blight	Monocot	Rye	Trichodiene synthase	GO:0009405, IMP; GO:0044412; GO:0045482	GO	0	Reduced virulence	0	No	No	Yes	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	MU; AB		8589414; 9274012; 10931910	PubMed	0	0	0	0	Proctor et al.	1995
	PHI:44		Uniprot	Q8NJV0		AAM90953	0	0	A18	TRI5	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	GZ3639	Fusarium ear blight	Monocot	Maize	Trichodiene synthase	GO:0045482	GO	0	Unaffected pathogenicity	0	No	No	No	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	MU; AB		8589414; 9274012; 10931910	PubMed	0	0	0	0	Proctor et al.	1995
	PHI:44		Uniprot	Q8NJV0		AAM90953	0	0	A18	TRI5	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	GZ3639	Fusarium ear blight	Monocot	Wheat	Trichodiene synthase	GO:0009405, IMP; GO:0044412; GO:0045482	GO	0	Reduced virulence	0	No	No	Yes	0	0	0	0	0	0	0	0	0	gene disruption; complementation	0	MU; AB		8589414; 9274012; 10931910	PubMed	0	0	0	Wheaton cultivar	Proctor et al.	1995
	PHI:44		Uniprot	Q8NJV0		AAM90953	0	0	A18	TRI5	0	0	5518	Gibberella zeae (related: Fusarium graminearum)	229533	PH-1	Fusarium ear blight	Dicot	Arabidopsis thaliana	Trichodiene synthase	0	GO	0	Unaffected pathogenicity	0	0	0	0	0	0	0	0	0	0	0	0	0	gene deletion; biochemical analysis	0	AB; AC		0	PubMed	10.1111/j.1469-8137.2007.02333.x	Cuzick et al. (2008) New Phytologist 177(4): 990-1000	kim.hammond-kosack@bbsrc.ac.uk	0	Cuzick et al.	2008
