LSU_rRNA_eukarya 1-3401 (+1)	=> 8855-11955 (-1)
Percent identity: 
Cigar string: 12M3I94M2I14M121I11D24M3I63M5I38M26I16D14M2I94M65I251D6MI35M46I111D54MD33MI101M94I130D17M16I13D29MD27MI4M6I108MD53MD23MD13MI130M426I298D111MD6M9I150D6MD61MI35MI11M23I12D136MD112M10D25MI20M20I66D39MI47M4I53MI50M2I19M3D193M5D62MI11MD4MD19MI7M2D13M7I22M2D10M5I136M20I90D9M
ungapped:
LSU_rRNA_eukarya 1-12 (+1)	=> 11944-11955 (-1)
LSU_rRNA_eukarya 13-106 (+1)	=> 11847-11940 (-1)
LSU_rRNA_eukarya 107-120 (+1)	=> 11831-11844 (-1)
LSU_rRNA_eukarya 132-155 (+1)	=> 11686-11709 (-1)
LSU_rRNA_eukarya 156-218 (+1)	=> 11620-11682 (-1)
LSU_rRNA_eukarya 219-256 (+1)	=> 11577-11614 (-1)
LSU_rRNA_eukarya 273-286 (+1)	=> 11537-11550 (-1)
LSU_rRNA_eukarya 287-380 (+1)	=> 11441-11534 (-1)
LSU_rRNA_eukarya 632-637 (+1)	=> 11370-11375 (-1)
LSU_rRNA_eukarya 638-672 (+1)	=> 11334-11368 (-1)
LSU_rRNA_eukarya 784-837 (+1)	=> 11234-11287 (-1)
LSU_rRNA_eukarya 839-871 (+1)	=> 11201-11233 (-1)
LSU_rRNA_eukarya 872-972 (+1)	=> 11099-11199 (-1)
LSU_rRNA_eukarya 1103-1119 (+1)	=> 10988-11004 (-1)
LSU_rRNA_eukarya 1133-1161 (+1)	=> 10943-10971 (-1)
LSU_rRNA_eukarya 1163-1189 (+1)	=> 10916-10942 (-1)
LSU_rRNA_eukarya 1190-1193 (+1)	=> 10911-10914 (-1)
LSU_rRNA_eukarya 1194-1301 (+1)	=> 10797-10904 (-1)
LSU_rRNA_eukarya 1303-1355 (+1)	=> 10744-10796 (-1)
LSU_rRNA_eukarya 1357-1379 (+1)	=> 10721-10743 (-1)
LSU_rRNA_eukarya 1381-1393 (+1)	=> 10708-10720 (-1)
LSU_rRNA_eukarya 1394-1523 (+1)	=> 10577-10706 (-1)
LSU_rRNA_eukarya 1822-1932 (+1)	=> 10040-10150 (-1)
LSU_rRNA_eukarya 1934-1939 (+1)	=> 10034-10039 (-1)
LSU_rRNA_eukarya 2090-2095 (+1)	=> 10019-10024 (-1)
LSU_rRNA_eukarya 2097-2157 (+1)	=> 9958-10018 (-1)
LSU_rRNA_eukarya 2158-2192 (+1)	=> 9922-9956 (-1)
LSU_rRNA_eukarya 2193-2203 (+1)	=> 9910-9920 (-1)
LSU_rRNA_eukarya 2216-2351 (+1)	=> 9751-9886 (-1)
LSU_rRNA_eukarya 2353-2464 (+1)	=> 9639-9750 (-1)
LSU_rRNA_eukarya 2475-2499 (+1)	=> 9614-9638 (-1)
LSU_rRNA_eukarya 2500-2519 (+1)	=> 9593-9612 (-1)
LSU_rRNA_eukarya 2586-2624 (+1)	=> 9534-9572 (-1)
LSU_rRNA_eukarya 2625-2671 (+1)	=> 9486-9532 (-1)
LSU_rRNA_eukarya 2672-2724 (+1)	=> 9429-9481 (-1)
LSU_rRNA_eukarya 2725-2774 (+1)	=> 9378-9427 (-1)
LSU_rRNA_eukarya 2775-2793 (+1)	=> 9357-9375 (-1)
LSU_rRNA_eukarya 2797-2989 (+1)	=> 9164-9356 (-1)
LSU_rRNA_eukarya 2995-3056 (+1)	=> 9102-9163 (-1)
LSU_rRNA_eukarya 3057-3067 (+1)	=> 9090-9100 (-1)
LSU_rRNA_eukarya 3069-3072 (+1)	=> 9086-9089 (-1)
LSU_rRNA_eukarya 3074-3092 (+1)	=> 9067-9085 (-1)
LSU_rRNA_eukarya 3093-3099 (+1)	=> 9059-9065 (-1)
LSU_rRNA_eukarya 3102-3114 (+1)	=> 9046-9058 (-1)
LSU_rRNA_eukarya 3115-3136 (+1)	=> 9017-9038 (-1)
LSU_rRNA_eukarya 3139-3148 (+1)	=> 9007-9016 (-1)
LSU_rRNA_eukarya 3149-3284 (+1)	=> 8866-9001 (-1)
LSU_rRNA_eukarya 3375-3383 (+1)	=> 8837-8845 (-1)

LSU_rRNA_archaea 1-2990 (+1)	=> 8930-12100 (-1)
Percent identity: 
Cigar string: 45M3I42M4I22MI26M2D10M7D97MI7M135I27D28M5I12M2I52MI5M2I7MI14M26I12D8M3I6MI21MD66M3D43M14I60D52MI12M3I22M8I46D58MD25MI8MI107MI26M29I26D27M2I28M3D37MD30M5I107MD33MD6M3D35MD65MI28MD50M426I258D29MI21MI4MI64MD7MD114M23I14D253M15I50M22I5D38MI44M4I56M3I38MI31M3D194M4D18MI55MD4MD27MD13M7I39M5I42M2IM6I6MD21M5I14M
ungapped:
LSU_rRNA_archaea 1-45 (+1)	=> 12056-12100 (-1)
LSU_rRNA_archaea 46-87 (+1)	=> 12011-12052 (-1)
LSU_rRNA_archaea 88-109 (+1)	=> 11985-12006 (-1)
LSU_rRNA_archaea 110-135 (+1)	=> 11958-11983 (-1)
LSU_rRNA_archaea 138-147 (+1)	=> 11948-11957 (-1)
LSU_rRNA_archaea 155-251 (+1)	=> 11851-11947 (-1)
